id,mark,model,year,mileage,body_type,color,engine_vol,fuel,gearbox,cleared,price
189,VAZ,21099,1995,0,Sedan,Blue,1500,Petrol,Mechanical,1.0,1900
190,VAZ,21213,1994,38,SUV / Crossover,Red,1699,Gas / petrol,Mechanical,1.0,2500
191,GAZ,69,1980,25889,SUV / Crossover,Green,24,Gas / petrol,Mechanical,1.0,3200
192,Opel,Combo,2011,189878,Passenger van (up to 1.5 tons),White,1248,Diesel,Mechanical,1.0,5500
193,ZAZ,Таврия,1999,63000,Hatchback,Blue,12,Petrol,Mechanical,1.0,1346
194,VAZ,2107,1988,80000,Sedan,Cherry,1500,Gas / petrol,Mechanical,1.0,1000
195,Volkswagen,Tiguan,2013,123000,SUV / Crossover,Black,2000,Diesel,Mechanical,1.0,21900
196,Renault,Scenic II,2004,160000,Minivan,Gray,1900,Diesel,Mechanical,0.0,1500
197,Fiat,Другая,1996,0,Passenger van (up to 1.5 tons),White,1372,Gas / petrol,Mechanical,1.0,2100
198,VAZ,2108,1986,0,Coupe,Red,1300,Petrol,Mechanical,1.0,846
199,Opel,Vectra,1998,0,Sedan,Green,2000,Diesel,Mechanical,1.0,0
200,Mazda,6,2005,0,Universal,Gray,2000,Diesel,Mechanical,1.0,5500
201,Mitsubishi,Carisma,2004,272000,Sedan,Silver,1900,Diesel,Mechanical,1.0,4500
202,Honda,Accord,2009,105,Coupe,Silver,23,Petrol,Automatic,1.0,11300
203,Volkswagen,Golf,2013,107000,Coupe,White,2000,Petrol,Adaptive,1.0,16500
204,Ford,Focus,1999,333333,Universal,Blue,1800,Diesel,Mechanical,0.0,500
205,Peugeot,5008,2013,230000,Minivan,Blue,1600,Diesel,Automatic,1.0,10700
206,BMW,5 серия,1990,466,Sedan,Asphalt,2400,Diesel,Mechanical,1.0,1800
207,Skoda,Roomster,2007,218000,Universal,Silver,1400,Gas / petrol,Mechanical,1.0,5900
208,Mercedes-Benz,250,2014,71000,Sedan,Black,1800,Petrol,Automatic,1.0,18500
209,Citroen,Xsara,2002,0,Universal,Blue,19,Diesel,Mechanical,0.0,850
210,Volkswagen,Caddy,2015,68000,Passenger van (up to 1.5 tons),Asphalt,1600,Diesel,Mechanical,1.0,14200
211,Volkswagen,Jetta,2012,143,Sedan,White,20,Petrol,Automatic,1.0,12000
212,Chevrolet,Lacetti,2007,154000,Hatchback,Red,1599,Gas / petrol,Mechanical,1.0,5500
213,Hyundai,i30,2010,237,Sedan,Red,14,Petrol,Mechanical,1.0,7700
214,Volvo,S80,2000,196000,Sedan,Silver,2900,Gas / petrol,Automatic,1.0,6100
215,Ford,Fusion,2008,132722,Hatchback,Black,1400,Gas / petrol,Mechanical,1.0,6300
216,Skoda,Octavia,2011,83000,Sedan,Black,1600,Petrol,Mechanical,1.0,11750
217,Volkswagen,Caddy,2011,0,Minivan,White,1600,Diesel,Mechanical,1.0,10700
218,Ford,Mondeo,2000,250000,Universal,Gray,20,Diesel,Mechanical,0.0,950
219,VAZ,2105,1988,1800,Sedan,Red,1500,Petrol,Mechanical,1.0,1300
220,Citroen,Berlingo,2012,150000,Universal,White,1600,Diesel,Mechanical,1.0,7800
221,Renault,Modus,2006,175,Minivan,Asphalt,1200,Petrol,Mechanical,1.0,4600
222,Nissan,Juke,2011,72745,SUV / Crossover,White,1600,Petrol,Mechanical,1.0,11000
223,Volkswagen,Passat Variant,2008,0,Universal,White,2000,Diesel,Automatic,1.0,10299
224,,Model S,2018,40000,Sedan,Gray,1,Electro,Automatic,1.0,65000
225,Renault,Kangoo Passenger,2015,97000,Minivan,Blue,1500,Diesel,Mechanical,0.0,4000
226,Ford,Kuga,2014,168000,SUV / Crossover,Gray,2,Diesel,Automatic,1.0,17900
227,VAZ,2106,1988,1,Sedan,White,1300,Gas / petrol,Mechanical,1.0,850
